Date;Time;CO(GT);NO2(GT);NOx(GT);PT08.S5(O3);T;RH;AH
01/01/2024;00.00.00;5.2;94.0;141.0;692.0;23.6;64.4;0.99
01/01/2024;01.00.00;5.0;90.0;135.0;880.0;18.3;63.3;0.54
01/01/2024;02.00.00;5.5;83.0;124.0;873.0;18.8;64.2;1.48
01/01/2024;03.00.00;6.1;78.0;117.0;1034.0;23.8;64.2;0.88
01/01/2024;04.00.00;5.4;94.0;142.0;843.0;24.3;52.7;0.65
01/01/2024;05.00.00;5.6;95.0;143.0;1220.0;24.4;58.2;1.17
01/01/2024;06.00.00;6.8;104.0;156.0;1200.0;27.0;57.2;0.78
01/01/2024;07.00.00;6.6;105.0;158.0;1056.0;23.0;39.0;1.09
01/01/2024;08.00.00;6.3;113.0;169.0;1252.0;24.5;43.9;1.09
01/01/2024;09.00.00;7.0;100.0;150.0;1233.0;22.8;37.9;0.95
01/01/2024;10.00.00;6.6;121.0;182.0;743.0;20.7;40.5;1.34
01/01/2024;11.00.00;6.7;111.0;167.0;781.0;21.2;29.4;0.76
01/01/2024;12.00.00;7.1;131.0;196.0;677.0;21.7;43.1;0.95
01/01/2024;13.00.00;6.0;103.0;154.0;546.0;22.9;27.5;1.04
01/01/2024;14.00.00;6.0;125.0;188.0;733.0;18.7;35.8;1.16
01/01/2024;15.00.00;6.4;108.0;161.0;500.0;11.4;41.6;1.28
01/01/2024;16.00.00;6.0;96.0;144.0;500.0;15.6;39.1;0.89
01/01/2024;17.00.00;6.4;94.0;141.0;500.0;15.3;41.9;1.15
01/01/2024;18.00.00;5.5;92.0;138.0;502.0;16.9;51.1;0.65
01/01/2024;19.00.00;5.0;95.0;143.0;500.0;15.5;54.3;1.43
01/01/2024;20.00.00;6.2;93.0;139.0;500.0;18.2;57.5;0.88
01/01/2024;21.00.00;5.2;79.0;118.0;562.0;17.2;64.9;1.23
01/01/2024;22.00.00;5.2;82.0;123.0;818.0;20.6;61.0;0.52
01/01/2024;23.00.00;4.3;102.0;153.0;500.0;17.8;66.1;0.71
02/01/2024;00.00.00;4.7;97.0;146.0;500.0;20.3;62.5;0.99
02/01/2024;01.00.00;5.1;85.0;127.0;933.0;22.9;60.2;1.38
02/01/2024;02.00.00;4.6;82.0;124.0;1288.0;21.4;61.6;1.03
02/01/2024;03.00.00;5.5;86.0;128.0;1281.0;22.0;58.1;1.43
02/01/2024;04.00.00;5.2;94.0;140.0;1180.0;23.1;55.3;0.98
02/01/2024;05.00.00;5.6;81.0;121.0;1108.0;23.3;59.7;0.99
02/01/2024;06.00.00;5.7;92.0;139.0;1329.0;26.0;48.7;0.62
02/01/2024;07.00.00;7.2;82.0;123.0;1031.0;21.2;42.8;1.3
02/01/2024;08.00.00;6.5;106.0;160.0;1223.0;21.2;42.6;0.75
02/01/2024;09.00.00;6.2;112.0;168.0;1164.0;27.3;39.9;1.4
02/01/2024;10.00.00;7.3;103.0;155.0;1170.0;21.0;31.1;1.41
02/01/2024;11.00.00;6.4;125.0;188.0;1345.0;21.7;34.0;1.44
02/01/2024;12.00.00;7.1;98.0;147.0;863.0;17.0;33.3;1.02
02/01/2024;13.00.00;6.0;95.0;142.0;615.0;18.9;34.7;1.18
02/01/2024;14.00.00;6.2;110.0;165.0;596.0;16.1;40.6;1.28
02/01/2024;15.00.00;6.8;116.0;174.0;500.0;13.3;40.1;0.63
02/01/2024;16.00.00;15.0;239.0;358.0;500.0;18.3;48.6;1.1
02/01/2024;17.00.00;6.3;94.0;141.0;500.0;17.5;46.1;0.53
02/01/2024;18.00.00;5.9;106.0;159.0;500.0;14.8;58.9;1.0
02/01/2024;19.00.00;5.6;91.0;136.0;500.0;17.2;51.6;0.65
02/01/2024;20.00.00;4.8;86.0;129.0;500.0;19.5;53.7;0.68
02/01/2024;21.00.00;4.9;93.0;140.0;697.0;18.0;63.3;0.87
02/01/2024;22.00.00;4.9;89.0;133.0;600.0;18.5;69.8;0.93
02/01/2024;23.00.00;5.6;65.0;97.0;695.0;19.1;57.6;1.12
03/01/2024;00.00.00;5.2;95.0;142.0;748.0;21.3;64.0;0.57
03/01/2024;01.00.00;4.2;94.0;141.0;928.0;20.6;61.4;1.0
03/01/2024;02.00.00;5.3;76.0;114.0;1132.0;21.9;63.7;0.68
03/01/2024;03.00.00;5.1;88.0;133.0;944.0;24.4;60.7;1.07
03/01/2024;04.00.00;5.2;92.0;139.0;1041.0;23.4;64.2;1.14
03/01/2024;05.00.00;6.0;94.0;141.0;1138.0;24.1;53.3;1.06
03/01/2024;06.00.00;6.5;89.0;134.0;985.0;25.0;56.9;1.24
03/01/2024;07.00.00;6.7;92.0;138.0;1055.0;27.1;44.5;0.84
03/01/2024;08.00.00;15.0;204.0;307.0;1070.0;22.1;47.1;1.27
03/01/2024;09.00.00;6.6;117.0;176.0;1223.0;25.1;40.5;0.93
03/01/2024;10.00.00;7.0;113.0;170.0;1042.0;24.1;45.7;0.98
03/01/2024;11.00.00;7.5;106.0;159.0;935.0;22.9;28.1;1.15
03/01/2024;12.00.00;15.0;235.0;353.0;936.0;18.4;29.2;0.52
03/01/2024;13.00.00;15.0;162.0;243.0;674.0;15.3;44.7;1.15
03/01/2024;14.00.00;6.3;119.0;179.0;662.0;18.6;33.3;1.12
03/01/2024;15.00.00;6.1;88.0;132.0;501.0;16.8;36.0;0.81
03/01/2024;16.00.00;6.9;99.0;148.0;500.0;17.7;38.1;0.59
03/01/2024;17.00.00;6.9;88.0;132.0;500.0;13.8;51.9;0.59
03/01/2024;18.00.00;6.0;82.0;123.0;500.0;16.5;43.7;1.42
03/01/2024;19.00.00;6.2;103.0;154.0;500.0;17.3;54.0;1.19
03/01/2024;20.00.00;5.7;83.0;124.0;681.0;15.5;56.2;0.63
03/01/2024;21.00.00;5.0;88.0;132.0;665.0;17.3;65.8;0.86
03/01/2024;22.00.00;5.3;82.0;122.0;754.0;18.3;60.2;1.09
03/01/2024;23.00.00;5.8;85.0;128.0;894.0;17.1;66.6;1.34
04/01/2024;00.00.00;5.0;81.0;121.0;814.0;21.1;59.1;0.54
04/01/2024;01.00.00;5.8;68.0;102.0;935.0;24.5;75.9;0.74
04/01/2024;02.00.00;3.8;92.0;138.0;901.0;22.5;61.8;1.39
04/01/2024;03.00.00;5.7;79.0;119.0;1032.0;20.6;60.7;0.51
04/01/2024;04.00.00;5.5;72.0;108.0;1245.0;23.0;65.8;0.7
04/01/2024;05.00.00;5.6;87.0;130.0;1379.0;21.3;50.9;1.46
04/01/2024;06.00.00;6.0;110.0;165.0;1178.0;27.6;58.3;1.11
04/01/2024;07.00.00;5.3;107.0;161.0;1114.0;26.4;44.1;0.76
04/01/2024;08.00.00;15.0;198.0;297.0;1146.0;23.3;45.9;0.57
04/01/2024;09.00.00;6.9;102.0;153.0;1179.0;20.7;36.5;0.53
04/01/2024;10.00.00;7.6;105.0;157.0;769.0;20.8;30.2;0.74
04/01/2024;11.00.00;6.7;130.0;195.0;536.0;20.0;37.6;1.38
04/01/2024;12.00.00;6.6;114.0;171.0;712.0;20.2;38.2;0.92
04/01/2024;13.00.00;6.7;114.0;171.0;501.0;18.9;28.9;1.22
04/01/2024;14.00.00;7.3;118.0;177.0;519.0;20.2;35.5;1.42
04/01/2024;15.00.00;6.9;108.0;162.0;500.0;15.1;45.4;0.91
04/01/2024;16.00.00;6.2;100.0;150.0;500.0;12.7;45.5;0.69
04/01/2024;17.00.00;6.5;97.0;145.0;646.0;12.9;44.1;1.02
04/01/2024;18.00.00;15.0;189.0;283.0;500.0;15.0;47.0;1.41
04/01/2024;19.00.00;6.2;91.0;136.0;500.0;13.7;63.6;1.3
04/01/2024;20.00.00;5.1;95.0;142.0;553.0;15.1;50.3;0.57
04/01/2024;21.00.00;5.1;85.0;127.0;500.0;15.6;60.3;1.19
04/01/2024;22.00.00;4.9;89.0;134.0;766.0;19.5;55.7;1.07
04/01/2024;23.00.00;4.3;80.0;120.0;684.0;17.5;71.1;1.41
05/01/2024;00.00.00;5.1;81.0;121.0;907.0;19.2;65.0;0.62
05/01/2024;01.00.00;5.2;61.0;91.0;732.0;22.7;65.4;1.03
05/01/2024;02.00.00;5.1;91.0;137.0;751.0;21.4;76.8;1.38
05/01/2024;03.00.00;12.9;176.0;264.0;1214.0;24.4;57.6;0.91
05/01/2024;04.00.00;4.8;97.0;146.0;1207.0;25.0;66.2;0.98
05/01/2024;05.00.00;5.5;62.0;93.0;1042.0;25.1;51.9;0.57
05/01/2024;06.00.00;5.8;116.0;174.0;1061.0;22.7;48.8;0.78
05/01/2024;07.00.00;5.9;97.0;146.0;1366.0;27.3;59.3;0.82
05/01/2024;08.00.00;15.0;227.0;341.0;956.0;28.8;41.7;1.45
05/01/2024;09.00.00;6.9;95.0;143.0;1346.0;23.6;32.5;0.78
05/01/2024;10.00.00;7.8;114.0;171.0;856.0;20.4;38.4;0.96
05/01/2024;11.00.00;7.1;99.0;148.0;1006.0;21.4;34.6;1.17
05/01/2024;12.00.00;7.1;104.0;156.0;747.0;22.0;36.8;0.66
05/01/2024;13.00.00;6.9;129.0;193.0;793.0;17.5;34.8;0.99
05/01/2024;14.00.00;5.9;106.0;159.0;513.0;17.2;48.1;1.24
05/01/2024;15.00.00;6.7;108.0;162.0;500.0;17.1;42.2;1.37
05/01/2024;16.00.00;6.5;111.0;167.0;500.0;18.1;37.1;1.13
05/01/2024;17.00.00;7.5;104.0;156.0;500.0;16.7;46.7;1.17
05/01/2024;18.00.00;5.9;97.0;145.0;519.0;16.6;46.0;0.63
05/01/2024;19.00.00;5.9;95.0;142.0;500.0;14.3;52.6;1.45
05/01/2024;20.00.00;5.5;112.0;167.0;500.0;16.5;52.9;0.63
05/01/2024;21.00.00;4.7;84.0;126.0;500.0;15.0;71.1;1.27
05/01/2024;22.00.00;5.7;84.0;126.0;500.0;19.2;59.5;0.76
05/01/2024;23.00.00;13.5;182.0;273.0;666.0;21.0;67.9;1.43
06/01/2024;00.00.00;5.4;91.0;137.0;1186.0;21.1;63.4;1.22
06/01/2024;01.00.00;4.6;92.0;139.0;1029.0;20.6;58.7;1.25
06/01/2024;02.00.00;5.8;88.0;133.0;997.0;22.1;64.0;0.72
06/01/2024;03.00.00;4.6;73.0;109.0;1041.0;27.1;62.6;0.94
06/01/2024;04.00.00;5.8;104.0;156.0;1150.0;23.6;60.3;1.12
06/01/2024;05.00.00;15.0;159.0;239.0;1274.0;26.9;40.8;1.27
06/01/2024;06.00.00;5.5;98.0;147.0;1011.0;25.7;43.8;0.6
06/01/2024;07.00.00;6.0;91.0;137.0;1365.0;24.2;50.9;1.46
06/01/2024;08.00.00;6.5;102.0;153.0;1261.0;21.6;37.9;1.39
06/01/2024;09.00.00;6.5;109.0;163.0;1198.0;24.0;40.4;0.77
06/01/2024;10.00.00;6.1;111.0;167.0;1070.0;22.7;30.7;1.32
06/01/2024;11.00.00;7.0;114.0;171.0;907.0;24.9;39.2;1.02
06/01/2024;12.00.00;6.5;126.0;189.0;908.0;18.3;39.7;0.96
06/01/2024;13.00.00;7.2;114.0;171.0;791.0;23.3;39.2;0.81
06/01/2024;14.00.00;6.4;106.0;158.0;543.0;18.3;42.2;1.08
06/01/2024;15.00.00;7.5;115.0;173.0;500.0;17.2;47.2;1.23
06/01/2024;16.00.00;6.1;114.0;172.0;500.0;14.5;36.6;0.91
