Reading_ID,Pollutant_CO,AQI,Category,Edge_Latency_ms,Cloud_Latency_ms,Alert
1,5.2,93.6,Moderate,169.94610000006105,2246.9297000000097,NO
2,5.0,89.3,Moderate,72.97379999999976,2112.9104000000325,NO
3,5.5,81.9,Moderate,106.03079999998499,2831.187800000066,NO
4,6.1,76.6,Moderate,80.61170000007678,2349.5031999999583,NO
5,5.4,93.6,Moderate,77.28930000007495,2749.769399999991,NO
6,5.6,94.7,Moderate,79.57309999994777,2722.21669999999,NO
7,6.8,101.6,Unhealthy for Sensitive Groups,102.45750000001408,2476.542399999971,YES
8,6.6,101.8,Unhealthy for Sensitive Groups,101.5580000000682,2404.6487000000525,YES
9,6.3,103.3,Unhealthy for Sensitive Groups,108.34169999998267,2642.064100000084,YES
10,7.0,100.0,Moderate,90.58220000008532,2506.872499999986,NO
11,6.6,104.8,Unhealthy for Sensitive Groups,79.38450000006014,2843.447099999935,YES
12,6.7,102.9,Unhealthy for Sensitive Groups,92.62999999998556,2507.642799999985,YES
13,7.1,106.7,Unhealthy for Sensitive Groups,96.57349999997678,2327.9887999999573,YES
14,6.0,101.4,Unhealthy for Sensitive Groups,92.03009999998812,2759.0324999999893,YES
15,6.0,105.5,Unhealthy for Sensitive Groups,96.33229999997184,2490.8274000000574,YES
16,6.4,102.3,Unhealthy for Sensitive Groups,102.17099999999846,2442.7597000000105,YES
17,6.0,95.7,Moderate,88.20219999995516,2720.997699999998,NO
18,6.4,93.6,Moderate,83.9071000000331,2867.6947000000155,NO
19,5.5,91.5,Moderate,79.03599999997368,2511.266599999999,NO
20,5.0,94.7,Moderate,88.43130000002475,2512.430800000061,NO
21,6.2,92.5,Moderate,74.62009999994734,2174.692700000037,NO
22,5.2,77.6,Moderate,87.60310000002391,2741.6657999999643,NO
23,5.2,80.8,Moderate,101.26760000002832,2627.182800000014,NO
24,4.3,101.2,Unhealthy for Sensitive Groups,89.25510000005943,2912.213399999928,YES
25,4.7,96.8,Moderate,84.05179999999746,2387.061200000062,NO
26,5.1,84.0,Moderate,80.45870000000832,2197.2074999999904,NO
27,4.6,81.7,Moderate,86.68260000001737,2475.1258000000007,NO
28,5.5,85.1,Moderate,97.03760000002148,2800.5194999999503,NO
29,5.2,93.6,Moderate,75.73549999995066,2614.8717999999462,NO
30,5.6,79.8,Moderate,84.44880000001831,2410.9955999999784,NO
31,5.7,91.5,Moderate,82.94050000006337,2504.1012000000364,NO
32,7.2,80.8,Moderate,89.05579999998281,2195.665399999939,NO
33,6.5,101.9,Unhealthy for Sensitive Groups,99.02060000001711,2505.102899999997,YES
34,6.2,103.1,Unhealthy for Sensitive Groups,70.92570000008891,2384.251500000005,YES
35,7.3,101.4,Unhealthy for Sensitive Groups,82.16119999997318,2721.8101999999362,YES
36,6.4,105.5,Unhealthy for Sensitive Groups,85.24380000005749,2300.160500000061,YES
37,7.1,97.9,Moderate,72.40890000002764,2637.046899999973,NO
38,6.0,94.7,Moderate,88.0850000000919,2321.570500000007,NO
39,6.2,102.7,Unhealthy for Sensitive Groups,72.44590000004791,2587.488300000018,YES
40,6.8,103.8,Unhealthy for Sensitive Groups,80.4381000000376,2647.2760000000335,YES
41,15.0,193.2,Unhealthy,73.72089999989839,2515.252900000064,YES
42,6.3,93.6,Moderate,96.12770000001092,2872.4215999999387,NO
43,5.9,101.9,Unhealthy for Sensitive Groups,86.07070000005024,2475.673400000005,YES
44,5.6,90.4,Moderate,76.96729999997842,2264.0451999999414,NO
45,4.8,85.1,Moderate,96.72330000000784,2694.8102000000063,NO
46,4.9,92.5,Moderate,83.24930000003405,2469.7332000000642,NO
47,4.9,88.3,Moderate,97.09959999997864,2463.544500000012,NO
48,5.6,62.7,Moderate,92.57470000000012,2383.659599999987,NO
49,5.2,94.7,Moderate,78.7424000000101,2715.528500000005,NO
50,4.2,93.6,Moderate,90.1606999999558,2651.230499999997,NO
